Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;Iteration 25;Iteration 26;Iteration 27;Iteration 28;Iteration 29;Iteration 30;Iteration 31;Iteration 32;Iteration 33;Iteration 34;Iteration 35;Iteration 36;Iteration 37;Iteration 38;Average
kernel:rbf | gamma:scale | nu:0.05 | ht:100 | alpha:0.2;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:100 | alpha:0.3;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:100 | alpha:0.4;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:100 | alpha:0.5;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:100 | alpha:0.6;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:100 | alpha:0.7;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:100 | alpha:0.8;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:100 | alpha:0.9;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:1000 | alpha:0.1;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:1000 | alpha:0.2;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:1000 | alpha:0.3;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:1000 | alpha:0.4;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:1000 | alpha:0.5;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:1000 | alpha:0.6;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:1000 | alpha:0.7;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:1000 | alpha:0.8;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:1000 | alpha:0.9;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:2000 | alpha:0.1;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:2000 | alpha:0.2;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:2000 | alpha:0.3;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:2000 | alpha:0.4;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:2000 | alpha:0.5;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:2000 | alpha:0.6;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
kernel:rbf | gamma:scale | nu:0.05 | ht:2000 | alpha:0.7;0.3279528148683409;0.3142361111111111;0.30668265770998127;0.3110759861699491;0.3001044696357957;0.30826552008768293;0.29596452331287615;0.30679957300264793;0.3171763184283696;0.29457928461791577;0.3090552357428839;0.2971512299026596;0.3091640457632526;0.30674178255254736;0.31643100995631546;0.331341962606483;0.3190680747985149;0.2941915587077151;0.29873229122837436;0.31135604517504345;0.32942084062777877;0.3106154333620679;0.31557150865421807;0.300123231298807;0.3036970658399835;0.30637362637362636;0.3074563921506229;0.3094453761591264;0.2991536213472409;0.2880292455543488;0.30301810354267833;0.2974424798594323;0.3075261632359636;0.30487998761740875;0.3040323755135906;0.3107192396025195;0.304659437250696;0.30699583529545355;0.3123100963397014;0.3076292450000954
